Stock Price, Call Spread UB, Call Spread LB, Call Spread MID, BSB Call Spread UB, BSB Call Spread LB
5,6.67853e-13,0,0,4.61652e-14,3.65678e-85
10,7.9375e-08,-1.93945e-15,0,3.5433e-08,8.90302e-55
15,1.96501e-05,-2.76399e-11,1.9541e-12,1.42509e-05,6.45543e-40
20,0.000549776,-2.19115e-08,4.97995e-09,0.000459231,1.67313e-30
25,0.00527118,-1.97282e-06,9.15578e-07,0.004919,1.2405e-23
30,0.0272357,-5.05446e-05,3.71839e-05,0.0256446,9.55448e-19
35,0.0949404,-0.000581521,0.000580573,0.0922933,1.01457e-14
40,0.253242,-0.00388098,0.00475096,0.252344,1.00972e-11
45,0.558122,-0.0175655,0.0245985,0.544379,3.92561e-09
50,1.06816,-0.0596733,0.0909604,1.05262,6.15076e-07
55,1.83626,-0.163029,0.260457,1.79384,2.45126e-05
60,2.90383,-0.375808,0.610356,2.79006,0.000676778
65,4.29804,-0.752699,1.21686,4.03738,0.00888636
70,6.0316,-1.31378,2.1231,5.50148,0.0655499
75,8.10433,-1.94314,3.31288,7.1356,0.347244
80,10.5016,-2.31971,4.7057,8.95444,1.11323
85,13.1561,-2.07294,6.17738,10.7962,2.32046
90,15.7981,-1.07486,7.59512,12.8361,3.58746
95,17.8496,0.476507,8.85103,14.4464,4.77761
100,18.7925,2.24381,9.88077,15.4047,5.85796
105,18.6776,3.95555,10.666,15.5765,6.87358
110,17.9869,5.47248,11.224,15.4089,7.72729
115,17.151,6.75481,11.593,15.0502,8.53202
120,16.3681,7.81207,11.8182,14.7202,9.12971
125,15.6877,8.67137,11.9423,14.4177,9.70899
130,15.108,9.36308,12.0007,14.1362,10.1173
135,14.6165,9.91577,12.0197,13.8841,10.5223
140,14.2006,10.3546,12.0174,13.6464,10.7826
145,13.8489,10.7012,12.0052,13.4115,11.0512
150,13.5517,10.9737,11.9897,13.1939,11.216
155,13.3006,11.187,11.9747,13.0394,11.375
160,13.0886,11.3533,11.9616,12.8901,11.5052
165,12.9096,11.4827,11.9509,12.7639,11.5879
170,12.7584,11.583,11.9426,12.6458,11.6746
175,12.6308,11.6607,11.9364,12.5324,11.7242
180,12.5229,11.7206,11.9318,12.4555,11.7673
185,12.4318,11.7668,11.9284,12.3859,11.8106
190,12.3548,11.8024,11.926,12.3049,11.8305
195,12.2896,11.8298,11.9243,12.2575,11.8507
200,12.2345,11.8508,11.9231,12.2117,11.8711
205,12.1878,11.867,11.9222,12.1629,11.8803
